t,S,I,R,D,beta,gamma,mu,R0
178.0,5780870.0,90257.36,122692.016,6122.805,0.04350392,0.028925523,0.0008865565,1.4592717
179.0,5777129.5,91329.84,125286.07,6204.8765,0.042324018,0.028365985,0.00088782905,1.4467863
180.0,5773450.0,92358.58,127860.62,6287.9834,0.041145634,0.027803794,0.00088930427,1.4339906
181.0,5769835.5,93342.09,130412.945,6372.0996,0.03997175,0.02724126,0.0008909762,1.4208523
182.0,5766289.5,94279.15,132940.67,6457.199,0.038805168,0.026680589,0.00089283887,1.4073393
183.0,5762815.5,95168.6,135441.52,6543.2554,0.0376486,0.026123926,0.00089488627,1.3934218
184.0,5759415.5,96009.625,137913.69,6630.2397,0.036504667,0.025573343,0.0008971125,1.3790721
185.0,5756093.0,96801.45,140355.39,6718.1196,0.035375904,0.025030762,0.00089951156,1.3642703
186.0,5752849.5,97543.61,142765.33,6806.868,0.034264516,0.024498016,0.00090208056,1.3489915
187.0,5749687.0,98235.72,145142.25,6896.449,0.033172797,0.023976803,0.00090481044,1.3332254
188.0,5746606.0,98877.664,147485.3,6986.8325,0.032102745,0.023468599,0.0009076983,1.3169656
189.0,5743608.0,99469.45,149793.89,7077.9873,0.031056058,0.022974804,0.0009107441,1.3002028
190.0,5740693.0,100011.336,152067.62,7169.8794,0.030034523,0.022496581,0.0009139389,1.2829499
191.0,5737861.5,100503.6,154306.28,7262.474,0.029039573,0.022035018,0.00091727974,1.2652142
192.0,5735112.5,100946.8,156509.9,7355.741,0.028072458,0.021590993,0.00092076365,1.2470132
193.0,5732446.0,101341.555,158678.78,7449.647,0.02713431,0.021165192,0.0009243876,1.228376
194.0,5729861.0,101688.65,160813.36,7544.1616,0.026226114,0.020758241,0.0009281516,1.209335
195.0,5727356.0,101988.92,162914.11,7639.2495,0.025348555,0.020370573,0.0009320438,1.1899269
196.0,5724929.5,102243.39,164981.86,7734.885,0.024502318,0.020002484,0.0009360701,1.1702011
197.0,5722580.0,102453.06,167017.42,7831.032,0.02368785,0.019654155,0.00094022456,1.1502095
198.0,5720305.5,102619.11,169021.84,7927.669,0.02290536,0.019325674,0.00094450713,1.1300029
199.0,5718104.5,102742.664,170996.06,8024.759,0.022155147,0.01901701,0.00094891194,1.1096481
200.0,5715974.0,102825.04,172941.25,8122.278,0.02143718,0.018728048,0.0009534359,1.0892055
201.0,5713912.0,102867.44,174858.6,8220.2,0.020751428,0.01845862,0.00095808506,1.068741
202.0,5711915.5,102871.21,176749.4,8318.498,0.020097565,0.018208444,0.0009628475,1.0483156
203.0,5709983.5,102837.62,178614.81,8417.146,0.019475501,0.017977208,0.0009677261,1.0280057
204.0,5708112.0,102768.055,180456.14,8516.121,0.01888473,0.017764553,0.00097272097,1.0078696
205.0,5706299.0,102663.83,182274.75,8615.4,0.018324893,0.017570063,0.0009778321,0.9879769
206.0,5704541.5,102526.25,184071.9,8714.962,0.017795425,0.01739332,0.0009830504,0.96838623
207.0,5702837.5,102356.63,185848.89,8814.781,0.01729576,0.017233878,0.0009883821,0.9491555
208.0,5701184.0,102156.3,187606.94,8914.842,0.01682527,0.017091244,0.000993824,0.9303404
209.0,5699579.0,101926.53,189347.38,9015.125,0.016383331,0.016964927,0.0009993733,0.91199386
210.0,5698019.5,101668.57,191071.33,9115.609,0.015969228,0.016854465,0.0010050327,0.89415884
211.0,5696503.0,101383.66,192780.03,9216.277,0.015582215,0.016759321,0.0010107964,0.8768774
212.0,5695027.0,101073.0,194474.69,9317.116,0.015221547,0.016679049,0.0010166705,0.86018246
213.0,5693589.5,100737.74,196156.39,9418.108,0.01488648,0.016613126,0.0010226489,0.844107
214.0,5692187.5,100379.055,197826.11,9519.237,0.014576238,0.016561091,0.0010287315,0.8286745
215.0,5690820.0,99998.04,199485.0,9620.492,0.014290076,0.016522467,0.0010349214,0.81390667
216.0,5689483.5,99595.74,201134.06,9721.859,0.014027189,0.016496822,0.0010412157,0.79981524
217.0,5688177.0,99173.22,202774.22,9823.326,0.013786774,0.01648368,0.0010476172,0.78640926
218.0,5686898.0,98731.445,204406.36,9924.882,0.013568144,0.016482621,0.001054123,0.77369803
219.0,5685644.5,98271.414,206031.36,10026.512,0.013370495,0.016493231,0.0010607332,0.76167953
220.0,5684414.5,97794.055,207650.02,10128.212,0.013193082,0.01651512,0.0010674477,0.75035006
221.0,5683207.0,97300.22,209263.2,10229.974,0.013035219,0.016547889,0.0010742694,0.73970616
222.0,5682019.5,96790.82,210871.53,10331.781,0.012896132,0.016591176,0.0010811955,0.7297341
223.0,5680850.5,96266.66,212475.8,10433.632,0.012775194,0.016644612,0.0010882289,0.7204257
224.0,5679699.0,95728.53,214076.62,10535.517,0.012671661,0.016707882,0.0010953695,0.711761
225.0,5678563.0,95177.195,215674.67,10637.434,0.012584936,0.01678066,0.0011026144,0.7037266
226.0,5677441.0,94613.42,217270.48,10739.369,0.012514334,0.016862646,0.0011099697,0.69630015
227.0,5676332.0,94037.875,218864.61,10841.32,0.012459289,0.016953513,0.0011174321,0.6894653
228.0,5675235.0,93451.24,220457.64,10943.285,0.012419175,0.017053008,0.0011250019,0.68319774
229.0,5674148.0,92854.164,222050.05,11045.26,0.012393456,0.017160878,0.001132685,0.67747635
230.0,5673070.5,92247.28,223642.19,11147.232,0.012381565,0.017276853,0.0011404753,0.672278
231.0,5672001.0,91631.18,225234.61,11249.206,0.012382936,0.017400682,0.0011483788,0.6675775
232.0,5670939.0,91006.43,226827.67,11351.176,0.012397151,0.01753217,0.0011563987,0.66335475
233.0,5669883.0,90373.58,228421.69,11453.141,0.012423646,0.017671093,0.0011645288,0.65958244
234.0,5668832.5,89733.16,230017.11,11555.094,0.012462001,0.017817244,0.001172775,0.6562395
235.0,5667786.5,89085.69,231614.14,11657.034,0.012511771,0.017970428,0.0011811376,0.6533028
236.0,5666744.0,88431.6,233213.25,11758.964,0.012572508,0.018130466,0.0011896164,0.6507482
237.0,5665704.5,87771.4,234814.55,11860.876,0.012643825,0.018297195,0.0011982144,0.64855397
238.0,5664667.0,87105.55,236418.39,11962.773,0.012725335,0.018470436,0.0012069345,0.64669895
239.0,5663631.5,86434.43,238024.92,12064.65,0.012816679,0.01865004,0.0012157739,0.6451625
240.0,5662596.5,85758.45,239634.53,12166.514,0.0129175,0.018835872,0.0012247384,0.6439236
241.0,5661561.5,85078.055,241247.19,12268.354,0.013027471,0.01902777,0.0012338281,0.64296365
242.0,5660527.0,84393.59,242863.27,12370.175,0.013146292,0.019225627,0.001243043,0.64226407
243.0,5659491.0,83705.414,244482.84,12471.975,0.013273638,0.019429311,0.001252386,0.641806
244.0,5658454.0,83013.85,246106.11,12573.756,0.013409238,0.019638702,0.0012618601,0.6415731
