t,S,I,R,D,beta,gamma,mu,R0
176.0,60218684.0,10688.296,196508.89,34980.05,0.03179605,0.0330721,0.0003266722,0.9520126
177.0,60218412.0,10633.074,196808.14,34992.57,0.03249393,0.03207396,0.00031675698,1.0031865
178.0,60218140.0,10595.148,197096.3,35004.965,0.033177238,0.031084314,0.0003071487,1.0568873
179.0,60217860.0,10574.279,197374.2,35017.246,0.0338449,0.030108139,0.00029783844,1.1131002
180.0,60217572.0,10570.29,197642.72,35029.406,0.034495633,0.029150069,0.00028882027,1.1717709
181.0,60217280.0,10583.063,197902.55,35041.465,0.035128485,0.028214246,0.00028008223,1.2328237
182.0,60216976.0,10612.473,198154.62,35053.418,0.035742413,0.027304351,0.0002716154,1.2961437
183.0,60216668.0,10658.477,198399.64,35065.258,0.036336403,0.026423573,0.0002634138,1.3615776
184.0,60216350.0,10721.049,198638.39,35076.996,0.03690959,0.025574535,0.0002554655,1.4289427
185.0,60216024.0,10800.183,198871.58,35088.62,0.037461173,0.024759337,0.0002477646,1.4980214
186.0,60215684.0,10895.939,199099.95,35100.15,0.037990343,0.02397959,0.00024030209,1.5685596
187.0,60215336.0,11008.366,199324.16,35111.543,0.038496446,0.02323635,0.00023307205,1.640281
188.0,60214972.0,11137.56,199544.89,35122.836,0.038978767,0.022530273,0.00022606552,1.7128751
189.0,60214600.0,11283.6,199762.81,35133.996,0.03943686,0.021861553,0.00021927655,1.7860225
190.0,60214216.0,11446.637,199978.58,35145.05,0.039870184,0.021230027,0.00021269917,1.8593804
191.0,60213812.0,11626.81,200192.81,35155.953,0.040278297,0.020635188,0.00020632744,1.9325993
192.0,60213400.0,11824.269,200406.02,35166.742,0.04066093,0.020076275,0.00020014941,2.0053303
193.0,60212970.0,12039.124,200618.89,35177.383,0.041017752,0.01955226,0.00019416511,2.077224
194.0,60212524.0,12271.642,200831.94,35187.883,0.041348647,0.019061953,0.0001883626,2.1479466
195.0,60212060.0,12521.88,201045.72,35198.234,0.041653346,0.018604025,0.00018274189,2.217164
196.0,60211580.0,12790.07,201260.73,35208.434,0.04193191,0.018177032,0.000177297,2.2845786
197.0,60211084.0,13076.348,201477.52,35218.477,0.042184304,0.01777944,0.00017201602,2.34991
198.0,60210570.0,13380.872,201696.53,35228.367,0.042410534,0.017409682,0.00016690195,2.4128995
199.0,60210030.0,13703.841,201918.22,35238.086,0.042610776,0.017066196,0.00016194284,2.4733245
200.0,60209476.0,14045.336,202143.1,35247.64,0.04278518,0.01674737,0.00015713871,2.5309923
201.0,60208900.0,14405.497,202371.53,35257.027,0.04293401,0.016451672,0.0001524806,2.5857396
202.0,60208304.0,14784.466,202603.94,35266.242,0.043057483,0.016177565,0.00014796853,2.6374319
203.0,60207690.0,15182.319,202840.78,35275.285,0.04315601,0.01592359,0.00014359356,2.6859725
204.0,60207050.0,15599.159,203082.3,35284.15,0.04322995,0.015688285,0.00013935268,2.731295
205.0,60206388.0,16035.033,203329.0,35292.848,0.04327972,0.015470311,0.00013524294,2.7733536
206.0,60205704.0,16489.992,203581.12,35301.36,0.043305736,0.015268356,0.00013125838,2.8121312
207.0,60204996.0,16964.074,203839.03,35309.703,0.043308537,0.015081182,0.000127396,2.8476388
208.0,60204264.0,17457.256,204103.0,35317.87,0.04328866,0.014907628,0.00012365282,2.879905
209.0,60203510.0,17969.467,204373.3,35325.875,0.043246698,0.014746591,0.00012002588,2.9089804
210.0,60202732.0,18500.738,204650.28,35333.695,0.04318319,0.0145970285,0.0001165092,2.934929
211.0,60201930.0,19050.932,204934.08,35341.36,0.0430987,0.014457986,0.00011309981,2.9578235
212.0,60201104.0,19619.938,205225.03,35348.86,0.042993974,0.014328539,0.000109791756,2.9777663
213.0,60200252.0,20207.666,205523.3,35356.19,0.04286958,0.014207855,0.000106588006,2.9948478
214.0,60199376.0,20813.945,205829.11,35363.375,0.0427262,0.0140951425,0.000103482605,3.0091786
215.0,60198470.0,21438.514,206142.64,35370.4,0.042564522,0.013989672,0.00010046959,3.0208726
216.0,60197548.0,22081.252,206464.05,35377.28,0.04238523,0.013890758,9.754896e-05,3.0300474
217.0,60196596.0,22741.826,206793.55,35384.02,0.042189043,0.01379779,9.471774e-05,3.03682
218.0,60195620.0,23420.035,207131.22,35390.62,0.041976612,0.013710171,9.197295e-05,3.041311
219.0,60194616.0,24115.516,207477.27,35397.094,0.041748684,0.013627365,8.93116e-05,3.0436442
220.0,60193590.0,24827.941,207831.73,35403.434,0.041505884,0.013548881,8.672774e-05,3.0439334
221.0,60192540.0,25556.951,208194.78,35409.664,0.04124899,0.013474271,8.422732e-05,3.0422978
222.0,60191468.0,26302.203,208566.45,35415.785,0.04097871,0.013403118,8.179843e-05,3.0388556
223.0,60190370.0,27063.229,208946.88,35421.79,0.04069568,0.013335019,7.944405e-05,3.0337164
224.0,60189244.0,27839.564,209336.1,35427.695,0.040400635,0.013269633,7.716417e-05,3.0269911
225.0,60188096.0,28630.84,209734.22,35433.508,0.04009415,0.013206646,7.4949865e-05,3.018775
226.0,60186924.0,29436.453,210141.25,35439.24,0.03977702,0.013145745,7.2801115e-05,3.0091827
227.0,60185732.0,30255.947,210557.16,35444.883,0.039449822,0.013086662,7.072091e-05,2.9983032
228.0,60184516.0,31088.762,210982.11,35450.45,0.039113235,0.013029158,6.870031e-05,2.9862313
229.0,60183276.0,31934.377,211416.03,35455.94,0.038767885,0.012973011,6.67423e-05,2.9730537
230.0,60182016.0,32792.207,211858.95,35461.375,0.03841434,0.012918025,6.484091e-05,2.9588492
231.0,60180732.0,33661.55,212310.84,35466.746,0.038053285,0.012863994,6.2999134e-05,2.9437075
232.0,60179428.0,34541.906,212771.75,35472.066,0.037685256,0.012810752,6.1210994e-05,2.9277008
233.0,60178104.0,35432.6,213241.66,35477.324,0.03731085,0.012758166,5.9476497e-05,2.9108982
234.0,60176764.0,36332.996,213720.52,35482.547,0.036930602,0.012706086,5.7795645e-05,2.8933675
235.0,60175400.0,37242.46,214208.27,35487.723,0.03654502,0.012654394,5.6162477e-05,2.8751707
236.0,60174020.0,38160.24,214704.86,35492.86,0.0361547,0.01260297,5.4579974e-05,2.856374
237.0,60172620.0,39085.72,215210.31,35497.96,0.035760116,0.01255174,5.3045154e-05,2.837027
238.0,60171200.0,40018.207,215724.5,35503.027,0.03536175,0.012500599,5.155504e-05,2.8171856
239.0,60169770.0,40956.92,216247.4,35508.066,0.034960043,0.012449473,5.0109626e-05,2.7968967
240.0,60168320.0,41901.242,216778.88,35513.07,0.034555536,0.012398288,4.8705937e-05,2.7762153
241.0,60166852.0,42850.477,217318.98,35518.05,0.034148585,0.012346998,4.734397e-05,2.7551754
242.0,60165376.0,43803.797,217867.5,35523.004,0.033739638,0.012295544,4.6023728e-05,2.733821
243.0,60163880.0,44760.63,218424.39,35527.926,0.03332911,0.012243882,4.4742228e-05,2.712192
244.0,60162376.0,45720.14,218989.56,35532.824,0.032917332,0.012191966,4.349649e-05,2.6903217
245.0,60160856.0,46681.707,219562.89,35537.7,0.03250472,0.012139767,4.2289495e-05,2.6682456
246.0,60159324.0,47644.56,220144.31,35542.543,0.03209163,0.012087271,4.1118266e-05,2.6459928
247.0,60157784.0,48608.027,220733.67,35547.36,0.03167839,0.012034446,3.9979815e-05,2.6235938
248.0,60156230.0,49571.383,221330.8,35552.15,0.03126527,0.011981264,3.887713e-05,2.6010735
249.0,60154670.0,50533.992,221935.66,35556.906,0.030852657,0.011927739,3.7807225e-05,2.578458
250.0,60153104.0,51495.125,222548.12,35561.63,0.030440789,0.011873841,3.6767127e-05,2.555771
251.0,60151530.0,52454.137,223167.94,35566.324,0.030029994,0.011819556,3.5756828e-05,2.5330408
252.0,60149944.0,53410.387,223795.12,35570.973,0.02962042,0.011764914,3.477633e-05,2.510271
253.0,60148356.0,54363.15,224429.39,35575.586,0.029212456,0.011709884,3.3825636e-05,2.4874983
254.0,60146760.0,55311.9,225070.72,35580.156,0.02880622,0.011654496,3.2901764e-05,2.4647248
255.0,60145164.0,56255.953,225718.86,35584.68,0.028402012,0.011598721,3.2004715e-05,2.441981
256.0,60143560.0,57194.758,226373.69,35589.16,0.027999979,0.011542603,3.113449e-05,2.4192686
257.0,60141950.0,58127.66,227035.03,35593.58,0.02760033,0.011486128,3.0291081e-05,2.396607
258.0,60140348.0,59054.16,227702.75,35597.945,0.027203273,0.01142931,2.9468536e-05,2.3740115
259.0,60138736.0,59973.684,228376.67,35602.258,0.026808929,0.011372164,2.8672815e-05,2.3514879
260.0,60137130.0,60885.742,229056.6,35606.492,0.026417505,0.01131469,2.7897955e-05,2.3290544
261.0,60135516.0,61789.76,229742.34,35610.67,0.026029151,0.011256933,2.7146936e-05,2.3067145
262.0,60133908.0,62685.273,230433.77,35614.777,0.025644016,0.011198893,2.641678e-05,2.2844818
263.0,60132300.0,63571.86,231130.78,35618.81,0.025262129,0.011140585,2.5707484e-05,2.262356
264.0,60130696.0,64449.035,231833.03,35622.76,0.024883758,0.011082023,2.501905e-05,2.2403586
265.0,60129096.0,65316.355,232540.45,35626.637,0.024508875,0.011023223,2.4351479e-05,2.2184846
266.0,60127496.0,66173.5,233252.81,35630.42,0.024137657,0.01096423,2.3701787e-05,2.1967425
267.0,60125900.0,67019.98,233969.89,35634.13,0.023770195,0.010905027,2.3069979e-05,2.175145
268.0,60124310.0,67855.55,234691.66,35637.734,0.023406576,0.010845646,2.2459031e-05,2.1536944
269.0,60122730.0,68679.78,235417.75,35641.25,0.023046773,0.010786131,2.1862985e-05,2.1323822
270.0,60121148.0,69492.41,236148.06,35644.668,0.022691023,0.010726467,2.1284819e-05,2.1112344
271.0,60119580.0,70293.15,236882.39,35647.984,0.022339296,0.010666683,2.0721554e-05,2.090245
272.0,60118012.0,71081.71,237620.64,35651.203,0.021991622,0.010606825,2.0176172e-05,2.0694098
273.0,60116456.0,71857.86,238362.44,35654.305,0.02164812,0.010546878,1.9645691e-05,2.0487459
274.0,60114908.0,72621.33,239107.75,35657.316,0.02130879,0.010486886,1.9130111e-05,2.0282466
275.0,60113370.0,73371.945,239856.33,35660.207,0.020973664,0.010426864,1.8629433e-05,2.007915
