t,S,I,R,D,beta,gamma,mu,R0
110.0,5765796.0,-6.2211914,53092.887,3266.7363,0.020535199,0.030073378,0.00014737685,0.6795065
111.0,5765796.5,-6.1533203,53092.72,3266.7292,0.0205255,0.030073369,0.0001473209,0.67918706
112.0,5765796.5,-6.081543,53092.56,3266.7222,0.02051587,0.030073361,0.00014726547,0.6788698
113.0,5765796.5,-6.0126953,53092.395,3266.7153,0.020506304,0.030073354,0.00014721055,0.6785546
114.0,5765796.5,-5.9438477,53092.227,3266.7087,0.02049679,0.030073347,0.00014715617,0.6782412
115.0,5765797.0,-5.8789062,53092.07,3266.7021,0.020487344,0.030073341,0.0001471023,0.67792994
116.0,5765797.0,-5.8095703,53091.91,3266.6958,0.020477962,0.030073337,0.00014704897,0.67762077
117.0,5765797.0,-5.743164,53091.746,3266.6895,0.020468641,0.030073334,0.0001469961,0.6773136
118.0,5765797.0,-5.6762695,53091.586,3266.6836,0.020459384,0.03007333,0.00014694376,0.67700857
119.0,5765797.0,-5.6103516,53091.434,3266.6775,0.02045019,0.030073326,0.00014689192,0.67670554
120.0,5765797.5,-5.543457,53091.273,3266.6719,0.020441052,0.030073326,0.00014684064,0.67640436
121.0,5765797.5,-5.4785156,53091.12,3266.6663,0.02043198,0.030073324,0.00014678983,0.6761053
122.0,5765797.5,-5.4121094,53090.973,3266.661,0.020422969,0.030073324,0.00014673958,0.67580825
123.0,5765797.5,-5.349121,53090.816,3266.6555,0.020414023,0.030073324,0.0001466898,0.6755134
124.0,5765797.5,-5.286621,53090.668,3266.6506,0.020405142,0.030073326,0.00014664051,0.67522055
125.0,5765798.0,-5.224121,53090.516,3266.6458,0.020396322,0.030073328,0.00014659173,0.67492974
126.0,5765798.0,-5.1591797,53090.37,3266.6409,0.02038756,0.03007333,0.00014654346,0.67464083
127.0,5765798.0,-5.0961914,53090.22,3266.636,0.020378865,0.030073334,0.0001464957,0.6743541
128.0,5765798.0,-5.0356445,53090.074,3266.6318,0.020370238,0.030073337,0.00014644847,0.6740695
129.0,5765798.0,-4.9726562,53089.926,3266.6274,0.020361666,0.030073343,0.00014640168,0.6737868
130.0,5765798.0,-4.9125977,53089.777,3266.6233,0.02035316,0.030073348,0.00014635542,0.6735063
131.0,5765798.5,-4.850586,53089.633,3266.6191,0.020344717,0.030073356,0.00014630967,0.6732278
132.0,5765798.5,-4.791504,53089.496,3266.6152,0.02033634,0.030073363,0.00014626438,0.67295134
133.0,5765798.5,-4.7314453,53089.355,3266.6116,0.020328023,0.03007337,0.00014621961,0.672677
134.0,5765798.5,-4.67334,53089.215,3266.608,0.020319767,0.03007338,0.00014617533,0.6724046
135.0,5765798.5,-4.6137695,53089.08,3266.6047,0.020311575,0.03007339,0.00014613156,0.6721343
136.0,5765798.5,-4.555664,53088.938,3266.6013,0.020303447,0.0300734,0.00014608825,0.671866
137.0,5765798.5,-4.498535,53088.8,3266.5984,0.020295382,0.030073412,0.00014604542,0.6715998
138.0,5765799.0,-4.4414062,53088.668,3266.5952,0.02028738,0.030073423,0.00014600312,0.6713357
139.0,5765799.0,-4.3842773,53088.527,3266.5925,0.020279445,0.030073436,0.00014596131,0.6710738
140.0,5765799.0,-4.326172,53088.395,3266.59,0.020271568,0.03007345,0.00014591997,0.6708137
141.0,5765799.0,-4.270508,53088.258,3266.5876,0.020263758,0.030073464,0.00014587915,0.6705559
142.0,5765799.0,-4.2158203,53088.125,3266.585,0.020256005,0.030073479,0.00014583876,0.6702999
143.0,5765799.0,-4.161133,53087.992,3266.5828,0.02024832,0.030073496,0.00014579893,0.6700461
