t,S,I,R,D,beta,gamma,mu,R0
156.0,5833199.0,-0.067871094,25191.367,2271.527,0.011717069,0.030158415,0.00019115991,0.38607028
157.0,5833199.0,-0.060546875,25191.365,2271.5303,0.01171484,0.030157905,0.00019057369,0.3860108
158.0,5833199.0,-0.05419922,25191.363,2271.5334,0.011712631,0.0301574,0.00018999256,0.38595182
159.0,5833199.0,-0.04638672,25191.361,2271.5366,0.011710442,0.030156897,0.00018941643,0.38589337
160.0,5833199.0,-0.040039062,25191.357,2271.5398,0.011708272,0.030156398,0.00018884531,0.38583547
161.0,5833199.0,-0.033691406,25191.355,2271.543,0.01170612,0.0301559,0.00018827923,0.3857781
162.0,5833199.0,-0.025390625,25191.354,2271.546,0.0117039895,0.03015541,0.0001877179,0.38572127
163.0,5833199.0,-0.019042969,25191.35,2271.549,0.011701876,0.03015492,0.00018716157,0.3856649
164.0,5833199.0,-0.012207031,25191.348,2271.552,0.011699785,0.030154431,0.00018660998,0.3856092
165.0,5833199.0,-0.005859375,25191.346,2271.5552,0.01169771,0.030153949,0.00018606316,0.3855539
166.0,5833199.0,0.0009765625,25191.342,2271.558,0.011695655,0.030153468,0.00018552106,0.38549915
167.0,5833199.0,0.008300781,25191.338,2271.561,0.01169362,0.030152991,0.00018498361,0.385445
168.0,5833199.0,0.015625,25191.336,2271.5642,0.011691603,0.030152516,0.0001844508,0.3853913
169.0,5833199.0,0.021972656,25191.332,2271.567,0.011689605,0.030152045,0.00018392259,0.38533813
170.0,5833199.0,0.028808594,25191.328,2271.57,0.011687627,0.030151578,0.0001833989,0.3852855
171.0,5833199.0,0.036132812,25191.324,2271.5728,0.011685667,0.030151112,0.00018287974,0.3852334
172.0,5833199.0,0.04296875,25191.32,2271.576,0.011683726,0.03015065,0.00018236505,0.3851818
173.0,5833199.0,0.049804688,25191.318,2271.5786,0.011681803,0.03015019,0.00018185472,0.38513073
174.0,5833199.0,0.056152344,25191.314,2271.5815,0.011679899,0.030149734,0.00018134879,0.3850802
175.0,5833199.0,0.06347656,25191.31,2271.5845,0.011678014,0.030149281,0.00018084722,0.38503015
176.0,5833199.0,0.0703125,25191.307,2271.5872,0.011676148,0.03014883,0.00018034989,0.38498065
177.0,5833199.0,0.07714844,25191.3,2271.59,0.0116743,0.030148383,0.00017985681,0.38493165
