t,S,I,R,D,beta,gamma,mu,R0
138.0,5949943.5,0.4794922,12381.231,1666.6085,0.013669484,0.030005526,0.00011842035,0.4537747
139.0,5949943.5,0.47460938,12381.233,1666.6088,0.013688562,0.030005518,0.00011836836,0.45440888
140.0,5949943.5,0.46972656,12381.235,1666.6089,0.01370777,0.03000551,0.00011831673,0.45504743
141.0,5949943.5,0.4638672,12381.237,1666.6091,0.0137271155,0.030005503,0.00011826546,0.4556905
142.0,5949943.5,0.45898438,12381.238,1666.6094,0.013746591,0.030005498,0.00011821457,0.4563379
143.0,5949943.5,0.45410156,12381.242,1666.6097,0.013766204,0.03000549,0.00011816403,0.45698982
144.0,5949943.5,0.4482422,12381.244,1666.61,0.013785954,0.030005483,0.000118113836,0.45764634
145.0,5949943.5,0.44335938,12381.246,1666.6104,0.013805838,0.030005477,0.00011806401,0.4583073
146.0,5949943.5,0.43847656,12381.25,1666.6107,0.0138258645,0.03000547,0.00011801453,0.45897293
147.0,5949943.5,0.4326172,12381.251,1666.6112,0.013846031,0.030005464,0.000117965414,0.45964327
148.0,5949943.5,0.4267578,12381.255,1666.6117,0.013866333,0.030005457,0.00011791664,0.4603181
149.0,5949943.5,0.421875,12381.256,1666.6122,0.013886783,0.030005451,0.00011786823,0.4609978
150.0,5949943.5,0.4165039,12381.259,1666.6128,0.013907375,0.030005444,0.00011782014,0.4616822
151.0,5949943.5,0.4111328,12381.263,1666.6133,0.013928108,0.030005438,0.00011777241,0.4623713
152.0,5949943.5,0.40429688,12381.266,1666.6139,0.013948987,0.03000543,0.00011772501,0.46306527
153.0,5949943.5,0.39941406,12381.268,1666.6145,0.013970012,0.030005425,0.00011767795,0.46376404
154.0,5949943.5,0.3935547,12381.271,1666.6151,0.013991188,0.030005418,0.000117631236,0.46446785
155.0,5949943.5,0.3881836,12381.275,1666.6158,0.01401251,0.030005412,0.00011758487,0.4651765
156.0,5949943.5,0.38232422,12381.277,1666.6166,0.0140339825,0.030005407,0.00011753882,0.4658901
157.0,5949943.5,0.37646484,12381.28,1666.6173,0.014055604,0.030005401,0.0001174931,0.46660867
158.0,5949943.5,0.37060547,12381.284,1666.618,0.01407738,0.030005394,0.00011744771,0.46733242
159.0,5949943.5,0.36523438,12381.288,1666.619,0.01409931,0.030005388,0.00011740267,0.4680612
160.0,5949943.5,0.35888672,12381.291,1666.6199,0.014121394,0.030005382,0.00011735794,0.46879512
161.0,5949943.5,0.35253906,12381.294,1666.6207,0.014143632,0.030005377,0.000117313524,0.46953416
162.0,5949943.5,0.3466797,12381.297,1666.6217,0.01416603,0.03000537,0.00011726943,0.4702785
163.0,5949943.5,0.3413086,12381.302,1666.6227,0.014188584,0.030005364,0.00011722569,0.47102803
164.0,5949943.5,0.33544922,12381.305,1666.6237,0.014211299,0.030005358,0.00011718224,0.47178286
165.0,5949943.5,0.328125,12381.31,1666.6246,0.014234172,0.030005353,0.00011713912,0.47254297
166.0,5949943.5,0.3227539,12381.313,1666.6259,0.014257209,0.030005347,0.00011709631,0.47330853
167.0,5949943.5,0.31591797,12381.317,1666.627,0.0142804105,0.030005341,0.00011705383,0.47407952
168.0,5949943.5,0.3100586,12381.321,1666.628,0.014303775,0.030005336,0.00011701163,0.4748559
169.0,5949943.5,0.30371094,12381.326,1666.6293,0.014327304,0.03000533,0.00011696975,0.4756378
170.0,5949943.5,0.29736328,12381.329,1666.6305,0.014351004,0.030005325,0.00011692819,0.47642532
171.0,5949943.5,0.29101562,12381.334,1666.6318,0.014374871,0.030005319,0.000116886935,0.4772184
172.0,5949943.5,0.28515625,12381.338,1666.6332,0.014398907,0.030005313,0.000116845986,0.4780171
173.0,5949943.5,0.2783203,12381.343,1666.6345,0.014423115,0.030005308,0.000116805335,0.47882152
174.0,5949943.5,0.27197266,12381.348,1666.6359,0.014447493,0.030005302,0.00011676498,0.4796315
175.0,5949943.5,0.265625,12381.352,1666.6372,0.014472047,0.030005299,0.00011672494,0.48044738
176.0,5949943.5,0.25927734,12381.355,1666.6388,0.0144967735,0.030005293,0.0001166852,0.48126897
177.0,5949943.5,0.2524414,12381.36,1666.6403,0.014521681,0.030005287,0.000116645744,0.48209655
178.0,5949943.5,0.24560547,12381.365,1666.6417,0.014546763,0.030005282,0.000116606585,0.48292997
179.0,5949943.5,0.23925781,12381.37,1666.6433,0.014572026,0.030005276,0.000116567724,0.4837694
180.0,5949943.5,0.23242188,12381.374,1666.6448,0.014597472,0.030005272,0.00011652915,0.48461485
181.0,5949943.5,0.22558594,12381.38,1666.6465,0.014623095,0.030005267,0.00011649086,0.48546618
182.0,5949943.5,0.21875,12381.385,1666.6482,0.014648903,0.030005261,0.000116452866,0.48632368
183.0,5949943.5,0.21191406,12381.39,1666.6499,0.014674899,0.030005258,0.00011641516,0.4871874
184.0,5949943.5,0.20507812,12381.395,1666.6516,0.014701078,0.030005252,0.000116377734,0.48805717
185.0,5949943.5,0.19824219,12381.399,1666.6534,0.014727447,0.030005246,0.00011634059,0.4889333
186.0,5949943.5,0.19091797,12381.405,1666.6553,0.014754003,0.030005243,0.00011630374,0.4898156
187.0,5949943.5,0.18457031,12381.41,1666.6571,0.014780754,0.030005237,0.00011626717,0.4907044
188.0,5949943.5,0.1772461,12381.415,1666.659,0.014807694,0.030005233,0.00011623088,0.4915994
189.0,5949943.5,0.17089844,12381.421,1666.661,0.014834831,0.030005228,0.00011619486,0.492501
190.0,5949943.5,0.16357422,12381.427,1666.663,0.014862161,0.030005224,0.000116159106,0.493409
191.0,5949943.5,0.15625,12381.432,1666.6649,0.014889686,0.030005218,0.00011612364,0.4943235
192.0,5949943.5,0.14892578,12381.437,1666.6671,0.014917412,0.030005215,0.00011608845,0.49524456
193.0,5949943.5,0.14208984,12381.442,1666.6692,0.014945338,0.03000521,0.00011605354,0.49617234
194.0,5949943.5,0.13427734,12381.448,1666.6713,0.014973465,0.030005205,0.000116018855,0.4971068
195.0,5949943.5,0.12841797,12381.454,1666.6735,0.015001795,0.030005202,0.00011598448,0.49804795
196.0,5949943.5,0.12011719,12381.46,1666.6757,0.015030334,0.030005196,0.00011595036,0.49899608
197.0,5949943.5,0.11279297,12381.465,1666.6779,0.015059069,0.030005192,0.00011591651,0.49995068
198.0,5949943.5,0.10546875,12381.472,1666.6803,0.015088023,0.030005189,0.00011588292,0.50091255
199.0,5949943.5,0.09765625,12381.478,1666.6825,0.01511718,0.030005183,0.0001158496,0.5018812
200.0,5949943.5,0.09082031,12381.483,1666.6849,0.015146552,0.03000518,0.00011581654,0.5028569
201.0,5949943.5,0.08251953,12381.489,1666.6874,0.015176136,0.030005176,0.000115783725,0.50383973
202.0,5949943.5,0.07519531,12381.495,1666.6898,0.015205934,0.030005172,0.000115751194,0.50482965
203.0,5949943.5,0.068847656,12381.502,1666.6924,0.015235947,0.030005168,0.0001157189,0.50582665
204.0,5949943.5,0.060546875,12381.508,1666.6948,0.015266177,0.030005163,0.000115686875,0.5068309
205.0,5949943.5,0.053222656,12381.515,1666.6974,0.015296629,0.030005159,0.00011565509,0.5078425
206.0,5949943.5,0.044921875,12381.5205,1666.7001,0.015327304,0.030005155,0.00011562355,0.5088615
207.0,5949943.5,0.037597656,12381.527,1666.7026,0.015358198,0.030005151,0.00011559229,0.50988775
208.0,5949943.5,0.029785156,12381.533,1666.7054,0.015389321,0.030005148,0.000115561255,0.51092166
209.0,5949943.5,0.021972656,12381.54,1666.7081,0.015420666,0.030005144,0.000115530485,0.51196283
210.0,5949943.5,0.0146484375,12381.547,1666.7108,0.0154522415,0.03000514,0.00011549996,0.5130117
211.0,5949943.5,0.0068359375,12381.554,1666.7137,0.015484046,0.030005137,0.000115469666,0.51406825
212.0,5949943.5,-0.00048828125,12381.561,1666.7166,0.015516086,0.030005133,0.00011543963,0.5151325
213.0,5949943.5,-0.008300781,12381.566,1666.7195,0.01554836,0.030005129,0.000115409835,0.5162046
214.0,5949943.5,-0.015625,12381.574,1666.7223,0.015580865,0.030005125,0.00011538029,0.51728433
215.0,5949943.5,-0.024902344,12381.58,1666.7255,0.01561361,0.030005122,0.00011535098,0.518372
216.0,5949943.5,-0.03125,12381.587,1666.7284,0.015646592,0.030005118,0.0001153219,0.5194676
217.0,5949943.5,-0.040039062,12381.595,1666.7314,0.015679814,0.030005114,0.000115293085,0.5205711
218.0,5949943.5,-0.047851562,12381.603,1666.7345,0.015713282,0.03000511,0.00011526447,0.5216828
219.0,5949943.5,-0.055664062,12381.608,1666.7377,0.015746996,0.030005109,0.000115236115,0.52280265
220.0,5949943.5,-0.06347656,12381.616,1666.741,0.01578095,0.030005105,0.000115207986,0.5239305
221.0,5949943.5,-0.071777344,12381.623,1666.744,0.015815161,0.030005101,0.00011518009,0.52506685
222.0,5949943.5,-0.079589844,12381.63,1666.7473,0.015849616,0.030005097,0.00011515244,0.5262113
223.0,5949943.0,-0.08691406,12381.637,1666.7506,0.015884325,0.030005096,0.000115125,0.5273642
224.0,5949943.0,-0.095703125,12381.6455,1666.754,0.015919296,0.030005092,0.0001150978,0.52852577
225.0,5949943.0,-0.104003906,12381.652,1666.7573,0.015954513,0.030005088,0.00011507084,0.5296955
226.0,5949943.0,-0.111328125,12381.66,1666.7609,0.015989993,0.030005084,0.00011504408,0.530874
227.0,5949943.0,-0.119628906,12381.667,1666.7643,0.016025735,0.030005082,0.00011501757,0.53206116
228.0,5949943.0,-0.1274414,12381.675,1666.7678,0.016061738,0.030005079,0.00011499127,0.533257
229.0,5949943.0,-0.1352539,12381.683,1666.7714,0.016098,0.030005077,0.000114965216,0.53446144
230.0,5949943.0,-0.14404297,12381.69,1666.775,0.016134536,0.030005073,0.00011493936,0.5356749
231.0,5949943.0,-0.15234375,12381.698,1666.7787,0.01617134,0.03000507,0.00011491374,0.53689736
232.0,5949943.0,-0.16015625,12381.706,1666.7823,0.01620841,0.030005068,0.00011488833,0.5381286
233.0,5949943.0,-0.16845703,12381.714,1666.7861,0.016245756,0.030005064,0.00011486314,0.53936905
234.0,5949943.0,-0.17626953,12381.722,1666.7899,0.016283378,0.030005062,0.00011483817,0.5406186
235.0,5949943.0,-0.18408203,12381.73,1666.7937,0.016321274,0.030005058,0.00011481342,0.54187727
236.0,5949943.0,-0.1928711,12381.738,1666.7976,0.01635945,0.030005056,0.00011478889,0.54314524
237.0,5949943.0,-0.20117188,12381.746,1666.8015,0.016397908,0.030005053,0.000114764574,0.54442257
238.0,5949943.0,-0.2084961,12381.754,1666.8054,0.016436648,0.03000505,0.00011474046,0.5457092
239.0,5949943.0,-0.21679688,12381.762,1666.8094,0.016475674,0.030005049,0.00011471656,0.54700536
240.0,5949943.0,-0.22558594,12381.7705,1666.8135,0.016514989,0.030005045,0.00011469289,0.5483112
241.0,5949943.0,-0.23339844,12381.779,1666.8175,0.016554594,0.030005043,0.0001146694,0.5496265
242.0,5949943.0,-0.24121094,12381.788,1666.8218,0.016594492,0.030005042,0.00011464614,0.55095166
243.0,5949943.0,-0.25048828,12381.795,1666.8258,0.01663468,0.030005038,0.000114623086,0.55228645
244.0,5949943.0,-0.25830078,12381.805,1666.8302,0.016675169,0.030005036,0.00011460024,0.5536311
245.0,5949943.0,-0.265625,12381.813,1666.8344,0.016715955,0.030005034,0.00011457759,0.55498576
246.0,5949943.0,-0.2734375,12381.822,1666.8386,0.016757043,0.03000503,0.00011455514,0.5563504
247.0,5949943.0,-0.28271484,12381.831,1666.843,0.01679844,0.030005028,0.000114532915,0.55772525
248.0,5949943.0,-0.29052734,12381.84,1666.8474,0.016840138,0.030005027,0.00011451088,0.5591101
